iteration	dimension	classification	severity	title	description	parent
1	user_types	new	HIGH	Novice misreads controlled failure	Missing prerequisites and deliberate dbt warning must produce guided remediation, not false completion	-
2	input_extremes	new	CRITICAL	Lab parameter escapes execution boundary	Metacharacters, traversal and extreme sizes must be rejected before allow-listed execution	-
3	timing	new	CRITICAL	Reset races publish	Concurrent reset and Iceberg/Airflow write must serialize or roll back without mixed evidence	-
4	scale	new	HIGH	Laptop profile overcommit	Portal plus all heavy profiles must be denied before exceeding the measured 16 GiB budget	-
5	state_transitions	new	CRITICAL	Scale-to-zero loses application state	Restart must reconnect, restore or deterministically rebuild ClickHouse, Superset and OpenMetadata state	-
6	environment	new	HIGH	Core path lacks cloud or optional tools	Credential-free local learning must complete on supported machines without Rill, AWS or agent tooling	-
7	error_cascades	new	CRITICAL	Partial catalog publish cascades	Timeout after object or catalog mutation must fail loud and support idempotent resume or rollback	-
8	authorization	new	CRITICAL	Cross-learner object access	Workspace, evidence, solution and reset endpoints must enforce object-level authorization	-
9	data_integrity	new	CRITICAL	Golden behavior drifts under refactor	Seeded bytes, anomaly semantics, schemas, marts and lineage identifiers must be contract-checked	-
10	integration	new	HIGH	Iceberg catalog client mismatch	Glue REST, ClickHouse and OpenMetadata compatibility must fail in a pre-architecture spike	-
11	compliance	new	CRITICAL	PII or secrets leak through traces	Classification, redaction, retention and deletion must cover source, retrieval, citations, traces and backups	-
12	business_logic	new	HIGH	Agent or AWS lab exceeds budget	Quotas, duration, spend alarm, kill switch and teardown evidence must bound the run	-
13	authorization_state	variant	CRITICAL	Concurrent or stolen Terraform apply	Remote locking, separate roles, environment binding and human approval must prevent unsafe apply	8
14	state_transitions	variant	HIGH	Resume after browser or host crash	Durable progress must identify last committed step and repeated reset must be safe	5
15	timing_business	variant	HIGH	Delayed side effect duplicates on retry	Idempotency, reconciliation, approval and attempt accounting must prevent duplicate actions and spend	7
16	user_types	variant	HIGH	Advanced learner forges completion	Evidence must bind actor, input SHA, environment and verifier and reject tampering	1
17	environment_timing	variant	HIGH	Office schedule shifts with timezone or DST	Explicit time semantics, next-run display, grace and override must prevent surprise stop/start	6
18	error_data	variant	CRITICAL	Successful backup cannot restore	Empty-environment restore and integrity checks must gate scale-down and migration	7
19	environment	variant	MEDIUM	Scroll narrative is inaccessible	Keyboard, screen reader, zoom and reduced-motion equivalents must preserve content and controls	6
20	integration_migration	variant	HIGH	Golden PR changes after discovery	SHA preflight, clean rerun, migration rehearsal and immutable rollback must reject stale implementation input	10
