iteration	scenario_id	dimension	actor	severity	title	preconditions	steps	expected_result	edge_cases	acceptance_evidence	rollback_or_removal	dependency	blocks_if_unresolved	novelty
1	SC-001	user-types	Novice learner	High	Prerequisite probes choose teaching depth without grading	Synthetic preview is loaded; learner does not know grain or weighted averages	Answer grain probe incorrectly; answer weighted-measure probe by averaging averages; request all hint levels; navigate back and retry	Probe results select clearer explanations only; hint ladder progresses orient to connect to explain; no score or completion changes; correct reasoning and limitations remain visible	Learner skips probes; screen reader announces feedback late; learner changes answer after full hint	Probe event/state assertions; named screen-reader transcript; no completion/network event; hint-level snapshots	Remove hidden scoring and simplify probes/hints; fall back to explicit static prerequisite explanation	Lesson contract vocabulary; neutral preview	Preview acceptance, ADR scoring, later portal cook	New scenario: novice knowledge adaptation
2	SC-002	input-data	Content author	Critical	Untrusted MDX or unsafe fixture content cannot execute	Candidate supports MDX and receives fixture strings containing HTML, JSX-like text, scripts, URLs, and secret-shaped canaries	Build trusted project MDX; inject unsafe values into fixture projection; render; inspect bundle, DOM, network, CSP, and build logs	Fixture values render as data or are rejected by schema; no runtime MDX evaluation, script execution, remote fetch, credential, or unsafe HTML	Malicious link scheme; closing-tag payload; oversized value; MDX import hidden in frontmatter	Schema-negative tests; CSP/browser network trace; bundle/credential scan; build-time trusted-content inventory	Remove remote/runtime MDX and unsafe renderer; regenerate safe fixture/bundle; eliminate candidate if cap expires	Candidate MDX/content stack; safe fixture policy	Preview, ADR scoring, later portal cook	New scenario: hostile content boundary
3	SC-003	timing	Scoring operator	High	Issue #6 fixture changes during the scoring window	Barrier B opened on a recorded issue #6 merge and first candidate has run	Change fixture or contract digest before second candidate; attempt to continue scorecard; reload persisted state	Harness refuses mixed digests; all prior candidate samples become invalid; every candidate reruns from clean state on one digest	Schema changes with same lesson ID; only evidence file changes; persisted browser state references old digest	Per-run merge SHA and digest assertions; scorecard single-digest invariant; invalidation log	Delete all affected measurements/scores/ADR evidence and rerun all candidates; retain only unscored preview observations	Issue #6 tracked fixture and schemas	ADR scoring and later portal cook; not preview	New scenario: dependency lands mid-experiment
4	SC-004	scale	Candidate engineer	High	Resource and payload evidence stays honest at upper content/state bounds	Common contract defines maximum representative acts, evidence cards, hints, and safe fixture sizes	Render maximum allowed content; open all disclosures; traverse journey; capture initial/lab JS, build size, startup, and process-tree RSS	UI stays usable and measurements report raw samples plus declared limits; no candidate silently truncates evidence or lazy-hides required facts	Long labels; many evidence rows; large limitation text; repeated reset/replay	Schema bound tests; browser transfer/build manifest; cold/warm/RSS raw record; complete DOM fact assertions	Invalidate performance score, reduce nonessential presentation, or eliminate candidate; never omit required evidence	Common bounds and measurement harness	ADR scoring and later portal cook	New scenario: upper-bound content and state
5	SC-005	state-transitions	Advanced learner	High	Back reload reset and verify preserve only committed state	Learner has transient answer text, viewed hints, a committed diagnosis step, and a fixture digest	Edit answer without commit; scroll ahead; back/forward; reload; reset twice; verify; reopen evidence	Committed step restores; transient state follows declared draft policy; scroll does not commit; reset is idempotent; verify shows same fixture digest; preview never completes	Reload during animation; duplicate reset click; stale tab; fixture digest changes	State-machine transition tests; URL/session snapshot; idempotent baseline digest; no completed-state schema/DOM event	Remove faulty persistence/animation; restore URL-based committed state and neutral baseline; eliminate candidate if unresolved	Common state model; fixture digest	Preview acceptance, ADR scoring, later portal cook	New scenario: reversible state under interruption
6	SC-006	environmental	Accessibility specialist	High	Keyboard screen reader 200 percent zoom reduced motion and no-JS retain the journey	Candidate passes ordinary desktop pointer flow	Run keyboard-only; named screen reader; 200% zoom/reflow; reduced motion; JavaScript disabled; narrow viewport	All facts, limitations, labels, and linear review remain; focus is visible/logical; rail reflows in document; motion is removed without removing meaning; no two-dimensional narrative scroll	Sticky rail over focus; status not announced; disclosure inaccessible; print/static order differs	Automated semantics/axe plus manual record; reflow screenshots; reduced-motion and JavaScript-off E2E; focus trace	Flatten/remove sticky/motion behavior and retain semantic static sequence; withhold candidate pass	Browser/AT-capable environment; WCAG 2.2	Preview acceptance, ADR scoring, later portal cook	New scenario: combined accessibility environments
7	SC-007	error-cascades	Novice learner	High	Environmental outage cannot masquerade as controlled analytical failure	Preview or candidate can load a controlled failure fixture; fixture asset/API is then unavailable or mismatched	Trigger intended headline failure; then remove/mismatch fixture; retry/reset/verify; restore environment	Controlled failure remains a lesson state with diagnosis; environmental failure stops advancement, identifies repair action, preserves safe trace, and does not overwrite controlled evidence	Offline after fixture cached; unexpected schema error; restoration returns different digest	Distinct failure-code/copy/status/recovery assertions; offline/mismatch E2E; evidence-index integrity test	Remove ambiguous generic error path; restore separate failure renderers and restart attempt on correct digest	Fixture adapter; future API vocabulary	Preview acceptance, ADR scoring, later portal cook	New scenario: cascading controlled and environmental failure
8	SC-008	authorization-levels	Malicious local web page	Critical	Browser has no credential or direct runner authority	Preview runs on loopback; another origin and rebinding-style Host/Origin requests are attempted; bundle is inspected	Load preview; inspect storage/bundle; attempt cross-origin fetch and direct runner-shaped paths; attempt mutation without session/CSRF	Issue #7 exposes no runner or mutation at all; browser contains no credential/runner URL; future contract requires exact Host/Origin, session, CSRF, and preferably Unix socket	Wildcard dev CORS; host alias; token in source map; VITE public env; service worker replay	Bundle/storage/network scan; empty privileged-route inventory; future negative-test contract documented	Remove credential/route/CORS assumption and regenerate bundle; eliminate candidate; no weakening of future contract	Issue #7 scope; future I5-04/I5-05 security contract	Preview, ADR scoring, later portal cook	New scenario: hostile-origin authority probe
9	SC-009	data-integrity	Data Product Owner	Critical	Four incompatible mart grains yield insufficient evidence rather than false causality	All four evidence cards contain plausible values and one promotion has high revenue while one carrier/region is delayed	Inspect cards; attempt to filter/join by promotion; choose a causal conclusion; request verifier explanation	No join/filter path links incompatible grains; causal choice is rejected; decision remains insufficient evidence; UI states the common-grain data needed later	Same region label appears in multiple marts; coincidental counts align; category/promotion names resemble each other	Schema/DOM relationship test; forbidden-attribution copy scan; verifier expected result; reviewer evidence	Delete composite dataset/chart/conclusion and every dependent score; restore independent evidence bundle	Existing mart grains; issue #6 promotion-trust-v1	Preview, ADR scoring, later portal cook	New scenario: plausible but invalid cross-grain inference
10	SC-010	integration-points	Candidate engineer	High	All candidates consume one OpenAPI-compatible adapter without contract drift	Issue #6 schemas are merged read-only; candidate adapters are generated or validated against one version	Run contract tests against each candidate; add unknown field and missing field; compare request/response/event semantics; inspect changed paths	All reject invalid shapes consistently; candidate code maps framework mechanics behind the same LabClient; no shared schema edit or browser-runner direct type	Next server action shortcut; Astro endpoint-only field; Vite fetch type assertion without runtime validation	Identical contract test IDs/output; schema digest; changed-path report; browser type/bundle inspection	Remove candidate-specific fork/shortcut, reset to common adapter, rerun or eliminate at cap	Issue #6 shared schema; common harness	ADR scoring and later portal cook	New scenario: framework adapter drift
