iteration	dimension	classification	severity	title	description	parent
1	User types & personas	New	High	Provisional fixture scorer	An issue #7 consumer runs the scorecard against an unmerged or locally regenerated fixture and reports a framework decision without an externally observed merge SHA.	-
2	Input space & extremes	New	Critical	Workspace path escape	A crafted absolute path, parent traversal, symlink component, or pre-existing foreign destination escapes the run root and redirects writes or cleanup into user-owned files.	-
3	Timing & concurrency	New	Critical	Hash/read TOCTOU swap	Evidence or an artifact is replaced between validation, hashing, manifest assembly, and publication, allowing the manifest to certify bytes that are no longer present.	-
4	Scale & resources	New	High	No-cache bootstrap exhaustion	An empty-cache install hangs, downloads an unbounded dependency graph, exhausts disk/log space, or exceeds runtime without terminating children and preserving useful evidence.	-
5	State & transitions	New	Critical	Interrupted release switch	A crash after some curated assets are staged or after pointer temp-write but before atomic switch exposes a partial or mixed 11-asset release or destroys the prior current release.	-
6	Environment & dependencies	New	High	Ambient environment drift	A stale virtualenv, changed transitive resolver output, PYTHONPATH module shadow, locale/timezone, or ambient credential changes behavior while the harness still reports the immutable Git input.	-
7	Error propagation & cascades	New	Critical	Build evidence overwritten by docs	dbt docs generation replaces run_results.json, and downstream canonicalization records the wrong command lifecycle or drops warning/test failures from the golden oracle.	-
8	Authorization & permissions	New	High	Checksum mislabeled as signature	A locally recomputable SHA-256 is presented as publisher authenticity or hosted signing, permitting a hostile replacement with internally consistent hashes to appear trusted.	-
9	Data integrity & corruption	New	Critical	Semantic drift hidden by totals	Row totals remain stable while one CSV byte, dbt edge, warning ID, mart schema/result, Rill weighting expression, Airflow edge, curated asset ID, or metadata FQN changes unnoticed.	-
10	Integration & interactions	New	High	Make registry ownership collision	The root include/help seam duplicates an existing target, defines a later issue's recipe, miscounts the 54-command registry, or changes existing Make target semantics.	-
11	Compliance & audit	New	Critical	Tracked evidence disclosure	A tracked fixture or evidence bundle includes credentials, private URLs, absolute home paths, raw PII-like identifiers, container/volume identifiers, or unredacted command output.	-
12	Business logic & rules	New	Critical	Invented promotion attribution	The promotion-trust contract joins incompatible mart grains and claims campaign causality for fulfillment delay, returns, or data-quality anomalies not supported by current data.	-
13	State & transitions + Data integrity	Variant	Critical	Mixed-generation current pointer	A reader observes a syntactically valid manifest whose 11 asset entries come from different data runs because generation coherence and exact asset-set validation are absent.	5
14	User types & personas + Timing	Variant	High	Score published before merge identity	A reviewer treats testedTreeSha or the discovery/attestation commit as the later merged fixture identity and publishes issue #7 scoring before the merge is externally observable.	1
15	Integration + State migration	Variant	High	Rollback cannot read evidence v1	A new evidence writer/schema is promoted, v1 reader support or the old schema is removed, and rollback/re-audit can no longer validate previously retained golden evidence.	10
